[2026-05-21 06:35:23] 20.207.73.85 -> 192.168.1.9 TCP | 443 -> 64214
[2026-05-21 06:35:24] 192.168.1.9 -> 192.168.1.1 UDP | 51416 -> 53
[2026-05-21 06:35:24] 192.168.1.1 -> 192.168.1.9 UDP | 53 -> 51416
[2026-05-21 06:35:24] 192.168.1.9 -> 52.168.117.171 TCP | 61348 -> 443
[2026-05-21 06:35:24] 52.168.117.171 -> 192.168.1.9 TCP | 443 -> 61348
[2026-05-21 06:35:24] 192.168.1.9 -> 52.168.117.171 TCP | 61348 -> 443
[2026-05-21 06:35:24] 192.168.1.9 -> 52.168.117.171 TCP | 61348 -> 443
[2026-05-21 06:35:24] 52.168.117.171 -> 192.168.1.9 TCP | 443 -> 61348
[2026-05-21 06:35:24] 192.168.1.9 -> 52.168.117.171 TCP | 61348 -> 443
[2026-05-21 06:35:25] 0.0.0.0 -> 224.0.0.1 OTHER
[2026-05-21 06:35:25] 0.0.0.0 -> 224.0.0.1 OTHER
[2026-05-21 06:35:25] 0.0.0.0 -> 224.0.0.1 OTHER
[2026-05-21 06:35:25] 192.168.1.9 -> 172.217.194.188 TCP | 53543 -> 5228
[2026-05-21 06:35:25] 192.168.1.9 -> 20.42.65.93 TCP | 53007 -> 443
[2026-05-21 06:35:25] 192.168.1.9 -> 20.42.65.93 TCP | 53007 -> 443
[2026-05-21 06:35:25] 192.168.1.9 -> 20.42.65.93 TCP | 53007 -> 443
[2026-05-21 06:35:25] 192.168.1.9 -> 20.42.65.93 TCP | 53007 -> 443
[2026-05-21 06:35:25] 192.168.1.9 -> 20.42.65.93 TCP | 53007 -> 443
[2026-05-21 06:35:25] 172.217.194.188 -> 192.168.1.9 TCP | 5228 -> 53543
[2026-05-21 06:35:25] 52.168.117.171 -> 192.168.1.9 TCP | 443 -> 61348
[2026-05-21 06:35:25] 52.168.117.171 -> 192.168.1.9 TCP | 443 -> 61348
[2026-05-21 06:35:25] 52.168.117.171 -> 192.168.1.9 TCP | 443 -> 61348
[2026-05-21 06:35:25] 192.168.1.9 -> 52.168.117.171 TCP | 61348 -> 443
[2026-05-21 06:35:25] 52.168.117.171 -> 192.168.1.9 TCP | 443 -> 61348
[2026-05-21 06:35:25] 52.168.117.171 -> 192.168.1.9 TCP | 443 -> 61348
[2026-05-21 06:35:25] 192.168.1.9 -> 52.168.117.171 TCP | 61348 -> 443
[2026-05-21 06:35:25] 192.168.1.9 -> 52.168.117.171 TCP | 61348 -> 443
[2026-05-21 06:35:25] 192.168.1.9 -> 52.168.117.171 TCP | 61348 -> 443
[2026-05-21 06:35:25] 20.42.65.93 -> 192.168.1.9 TCP | 443 -> 53007
[2026-05-21 06:35:25] 20.42.65.93 -> 192.168.1.9 TCP | 443 -> 53007
[2026-05-21 06:35:25] 20.42.65.93 -> 192.168.1.9 TCP | 443 -> 53007
[2026-05-21 06:35:25] 192.168.1.9 -> 20.42.65.93 TCP | 53007 -> 443
[2026-05-21 06:35:25] 52.168.117.171 -> 192.168.1.9 TCP | 443 -> 61348
[2026-05-21 06:35:25] 52.168.117.171 -> 192.168.1.9 TCP | 443 -> 61348
[2026-05-21 06:35:25] 52.168.117.171 -> 192.168.1.9 TCP | 443 -> 61348
[2026-05-21 06:35:25] 192.168.1.9 -> 52.168.117.171 TCP | 61348 -> 443
[2026-05-21 06:35:25] 192.168.1.9 -> 52.168.117.171 TCP | 61348 -> 443
[2026-05-21 06:35:25] 192.168.1.9 -> 52.168.117.171 TCP | 61348 -> 443
[2026-05-21 06:35:25] 192.168.1.9 -> 224.0.0.251 OTHER
[2026-05-21 06:35:25] 52.168.117.171 -> 192.168.1.9 TCP | 443 -> 61348
[2026-05-21 06:35:25] 20.42.65.93 -> 192.168.1.9 TCP | 443 -> 53007
